LocationCode,LocationDescription,CoordinateNB,CoordinateOL,A121_x,A121_y,AWG1_x,AWG1_y,"BSA (BSA1, BSA2)_x","BSA (BSA1, BSA2)_y",BTA1_x,BTA1_y,BTC1_x,BTC1_y,D151 (D152)_x,D151 (D152)_y,EPL1 (EPL2)_x,EPL1 (EPL2)_y,F161_x,F161_y,F31_x,F31_y,GAN1_x,GAN1_y,HAEW1_x,HAEW1_y,HKN_x,HKN_y,HKZA_x,HKZA_y,J61 (J62)_x,J61 (J62)_y,K131 (K132)_x,K131 (K132)_y,K141_x,K141_y,L91_x,L91_y,LEG1 (LEG2)_x,LEG1 (LEG2)_y,NC1_x,NC1_y,NLS1_x,NLS1_y
A121,A12 Platform ,55.416663,3.816671,0.0,0.0,137.33341147467934,-214.05279127408872,-50.195852436288156,-413.2828540467502,-123.61916484760567,624.7183391374786,-122.57766532774292,631.5256925466597,-56.525318377977264,-122.31441930901478,-35.646521833710594,-380.1601092978688,12.82977603101557,-144.55273746836616,57.20916624641494,-63.0106066918183,-173.77316155098814,196.63343884565813,-94.02879533944045,193.91205421095935,31.1220906458259,-302.32710768940444,14.847869403742877,-344.3858103282217,-55.80151939187938,-177.9153296740197,-38.769521685545804,-244.59025397848342,-11.884372189204786,-239.0683139213145,74.22636311196916,-200.1502007906456,-9.670089855695618,-388.1723709321693,-154.5333429520819,658.4435379989206,-163.79795150147692,249.63561258005436
AWG1,AWG Platform,53.49164,5.94114,-137.33341147467934,214.05279127408872,0.0,0.0,-194.82503812841802,-199.23006277266143,-254.70276243664782,838.7711304115672,-253.53095794710285,845.5784838207484,-197.03883685723517,91.73837196507394,-179.4629026494688,-166.10731802378007,-126.37195339645731,69.50005380572254,-79.70184184355352,151.0421845822704,-312.47678096193334,410.6862301197469,-230.77541395671406,407.96484548504804,-110.01605375279574,-88.27431641531572,-127.29015519094148,-130.33301905413296,-197.11718934932605,36.13746160006903,-180.66838180443918,-30.537462704394684,-153.07623933416218,-25.01552264722578,-64.37053141186996,13.902590483443102,-153.01386297968978,-174.1195796580806,-285.9494723472337,872.4963292730095,-301.47972931512913,463.6884038541431
"BSA (BSA1, BSA2)",Borssele Alpha platform,51.699921,3.056707,50.195852436288156,413.2828540467502,194.82503812841802,199.23006277266143,0.0,0.0,-83.22234270191294,1038.0011931842287,-82.1721240499704,1044.8085465934098,-8.254451549748698,290.9684347377354,14.99955204309376,33.12274474888137,64.3759131863606,268.73011657838396,110.37320274974704,350.27224735493184,-132.99094617392052,609.9162928924083,-49.394012455297215,607.1949082577095,84.29229766619214,110.9557463573457,67.51423395999315,68.89704371852848,-7.17994353433263,235.36752437273046,10.991573412966583,168.69260006826676,39.04712148822901,174.21454012543566,128.8214571574124,213.13265325610453,42.15173772356589,25.110483114580823,-115.97320820127905,1071.7263920456708,-122.89453293182153,662.9184666268045
BTA1,Brent Alpha platform ,61.03489,1.70541,123.61916484760567,-624.7183391374786,254.70276243664782,-838.7711304115672,83.22234270191294,-1038.0011931842287,0.0,0.0,0.8596785516554719,6.807353409181125,73.00861972903846,-747.0327584464933,96.29288503149051,-1004.8784484353473,137.7994096501437,-769.2710766058448,177.72094615885447,-687.7289458292969,-40.26945496684487,-428.0849002918204,33.55868461240172,-430.8062849265192,157.3002199549342,-927.045446826883,142.80077245499433,-969.1041494657002,74.5097881536234,-802.6336688114982,91.35006164692471,-869.3085931159619,116.28341089524196,-863.786653058793,195.77285112578377,-824.8685399281242,120.62681552880251,-1012.8907100696479,-28.902461515965463,33.72519886144213,-31.769182893356458,-375.0827265574242
BTC1,Brent Charlie Platform,61.09611,1.72139,122.57766532774292,-631.5256925466597,253.53095794710285,-845.5784838207484,82.1721240499704,-1044.8085465934098,-0.8596785516554719,-6.807353409181125,0.0,0.0,71.99764743350804,-753.8401118556744,95.23558027781618,-1011.6858018445284,136.7315532258768,-776.0784300150259,176.6269941542751,-694.536299238478,-41.14491716639209,-434.89225370100155,32.616971301971255,-437.61363833570033,156.20100531017457,-933.8528002360641,141.70935811045442,-975.9115028748813,73.49160630453547,-809.4410222206793,90.31084446878758,-876.115946525143,115.22413490998716,-870.5940064679742,194.65126685327354,-831.6758933373053,119.54905480952479,-1019.698063478829,-29.729945505147555,26.917845452261005,-32.64561468364044,-381.8900799666053
D151 (D152),D15 Platform ,54.316663,2.933333,56.525318377977264,122.31441930901478,197.03883685723517,-91.73837196507394,8.254451549748698,-290.9684347377354,-73.00861972903846,747.0327584464933,-71.99764743350804,753.8401118556744,0.0,0.0,22.785588976286526,-257.845689988854,70.43650252467424,-22.238318159351394,114.9165662384161,59.30381261719648,-120.98738890768342,318.94785815467293,-40.0809072411884,316.22647351997415,89.94786744209765,-180.01268838038968,73.71789397494038,-222.07139101920689,1.0882418309311446,-55.60091036500491,18.770788542514055,-122.27583466946862,45.97958583972937,-116.75389461229972,133.00253995484152,-77.83578148163085,49.14994846132975,-265.8579516231545,-104.63455481933157,780.7579573079355,-111.2286382229697,371.9500318890691
EPL1 (EPL2),Europlatform ,51.997801,3.275075,35.646521833710594,380.1601092978688,179.4629026494688,166.10731802378007,-14.99955204309376,-33.12274474888137,-96.29288503149051,1004.8784484353473,-95.23558027781618,1011.6858018445284,-22.785588976286526,257.845689988854,0.0,0.0,49.56081903908534,235.60737182950263,95.51920507755788,317.1495026060505,-146.5755900746707,576.7935481435269,-63.287256795439234,574.0721635088281,69.17682784768105,77.83300160846434,52.393206493505076,35.77429896964711,-21.799670620964303,202.2447796238491,-3.7910950419114533,135.56985531938537,24.1776994462013,141.09179537655427,113.7040262580425,180.00990850722317,27.05039497219468,-8.01226163430054,-128.85939841604323,1038.6036472967894,-136.4295329131728,629.7957218779231
F161,F16 Platform,54.116669,4.01667,-12.82977603101557,144.55273746836616,126.37195339645731,-69.50005380572254,-64.3759131863606,-268.73011657838396,-137.7994096501437,769.2710766058448,-136.7315532258768,776.0784300150259,-70.43650252467424,22.238318159351394,-49.56081903908534,-235.60737182950263,0.0,0.0,45.217513148387106,81.54213077654786,-189.26591756379844,341.1861763140243,-108.17335892798236,338.4647916793255,18.34993467322757,-157.77437022103828,1.7616470358234726,-199.8330728598555,-69.77139123625344,-33.36259220565351,-52.5555511062711,-100.03751651011723,-25.239830440360514,-94.51557645294832,62.28930860663597,-55.597463322279445,-23.195763786618993,-243.61963346380315,-169.2448692902399,802.9962754672869,-179.07044817076232,394.18835004842055
F31,F3 Platform,54.849995,4.716658,-57.20916624641494,63.0106066918183,79.70184184355352,-151.0421845822704,-110.37320274974704,-350.27224735493184,-177.72094615885447,687.7289458292969,-176.6269941542751,694.536299238478,-114.9165662384161,-59.30381261719648,-95.51920507755788,-317.1495026060505,-45.217513148387106,-81.54213077654786,0.0,0.0,-230.9948833959078,259.6440455374764,-150.677579915528,256.92266090277764,-27.807087109568634,-239.31650099758613,-44.45895665935325,-281.37520363640334,-114.53940113281143,-114.90472298220138,-97.81068205094904,-181.5796472866651,-70.70569623737168,-176.0577072294962,16.248547092036702,-137.1395940988273,-69.41861022943897,-325.16176424035103,-208.66420960425947,721.454144690739,-220.61118275450696,312.64621927187267
GAN1,Gannet platform,57.18503,1.0,173.77316155098814,-196.63343884565813,312.47678096193334,-410.6862301197469,132.99094617392052,-609.9162928924083,40.26945496684487,428.0849002918204,41.14491716639209,434.89225370100155,120.98738890768342,-318.94785815467293,146.5755900746707,-576.7935481435269,189.26591756379844,-341.1861763140243,230.9948833959078,-259.6440455374764,0.0,0.0,77.94487357460511,-2.721384634698788,210.36215309891995,-498.9605465350626,195.2836921150415,-541.0192491738798,122.81196298070641,-374.5487685196778,140.81082367146178,-441.22369282414155,167.00381832349262,-435.7017527669726,250.45530088794723,-396.78363963630375,172.16330575885323,-584.8058097778274,9.440042958190633,461.81009915326257,8.681205132254014,53.00217373439621
